ov, trigger, time
2.20, -0.015, 1256.0
3.00, -0.090, 1273.5
2.00, -0.085, 1341.0
2.80, -0.045, 1272.6
1.20, -0.045, 3600.0
2.80, -0.015, 1272.6
2.80, -0.060, 1266.7
1.60, -0.035, 1284.2
1.20, -0.100, 3600.1
3.00, -0.040, 1271.3
2.40, -0.095, 1277.9
1.80, -0.035, 1306.2
1.20, -0.070, 3600.1
2.80, -0.055, 1267.0
2.60, -0.065, 1275.9
1.60, -0.100, 3600.1
2.80, -0.005, 1276.2
1.80, -0.010, 1317.9
1.40, -0.065, 3600.1
2.40, -0.100, 1266.4
3.00, -0.035, 1262.2
2.00, -0.050, 1282.6
1.20, -0.030, 3600.1
2.60, -0.030, 1268.6
2.60, -0.005, 1280.9
1.60, -0.030, 1299.7
1.40, -0.075, 3600.1
3.00, -0.020, 1271.3
1.40, -0.020, 1325.1
2.40, -0.085, 1279.7
3.00, -0.065, 1274.0
2.80, -0.040, 1274.7
3.00, -0.050, 1278.0
1.60, -0.045, 1367.0
1.00, -0.095, 3600.0
1.20, -0.005, 1309.7
1.80, -0.080, 1817.7
2.00, -0.090, 1441.2
1.60, -0.025, 1278.1
2.00, -0.070, 1285.4
2.20, -0.085, 1281.9
2.40, -0.020, 1274.4
1.00, -0.055, 3600.1
1.40, -0.100, 3600.0
1.40, -0.040, 2292.1
2.60, -0.075, 1279.9
2.40, -0.080, 1278.3
2.20, -0.060, 1271.9
2.00, -0.005, 1280.3
1.60, -0.050, 1583.2
1.00, -0.045, 3600.1
2.40, -0.055, 1280.5
2.60, -0.085, 1278.1
1.40, -0.050, 3600.0
1.00, -0.005, 1981.6
3.00, -0.010, 1270.3
1.60, -0.095, 3600.1
1.00, -0.060, 3600.1
2.20, -0.090, 1275.2
1.00, -0.050, 3600.1
2.60, -0.010, 1277.0
2.20, -0.055, 1288.5
2.40, -0.025, 1280.1
2.60, -0.090, 1281.1
2.80, -0.075, 1278.8
3.00, -0.100, 1272.9
3.00, -0.075, 1274.6
2.60, -0.070, 1283.7
1.00, -0.015, 3600.1
2.00, -0.010, 1281.1
1.60, -0.010, 1296.2
1.40, -0.095, 3600.1
2.20, -0.025, 1261.7
1.40, -0.090, 3600.0
2.80, -0.065, 1279.2
2.80, -0.085, 1274.1
2.80, -0.070, 1276.9
2.20, -0.035, 1279.1
